No.,自社タイトル,自社URL,自社公開,スパムチャンネル名,スパムチャンネルURL,スパム公開,スパム再生数,スパムタイトル,スパムURL,タイトル一致率
1,【スカッとする話】ピアノの天才の姉だけを溺愛する長男嫁「発達障害の妹はお義母さんにあげるw」私「じゃあ私が育てるわね」養子にして10年育てると...,https://www.youtube.com/watch?v=vqBTDvaavnA,7.8万回視聴 / 2 年前, minh vương,https://www.youtube.com/channel/UCdm2C4XwcbiPrnEtGAg00EQ,2 年前,0 回視聴,【スカッとする話】ピアノの天才の姉だけを溺愛する長男嫁 「発達障害の妹はお義母さんにあげるw」私 「じゃあ私が育てるわね」養子にして10年育てると,https://www.youtube.com/watch?v=32TQUrPp7rE,100%
2,【スカッとする話】夫「妊娠？知らねぇよwお願いだからもうしゃべんな！」私「..」黙って引っ越し永久に無視してやった結果ｗ,https://www.youtube.com/watch?v=acMaagt7Yv0,11万回視聴 / 2 年前, minh vương,https://www.youtube.com/channel/UCdm2C4XwcbiPrnEtGAg00EQ,2 年前,0 回視聴,【スカッとする話】夫「妊娠？知らねぇよwお願いだからもうしゃべんな！」私「  」黙って引っ越し永久に無視してやった結果ｗ,https://www.youtube.com/watch?v=0WEIRqXLZkM,100%
3,【スカッとする話】私が年商500億の社長と知らない夫「時給941円の底辺は出てけw」連れ子「役立たずの母親バイバイw」私「じゃあ出ていきます」１ヶ月後、涙を流した夫から鬼電がw,https://www.youtube.com/watch?v=jA4TTTeqo-M,12万回視聴 / 2 年前, minh vương,https://www.youtube.com/channel/UCdm2C4XwcbiPrnEtGAg00EQ,2 年前,1 回視聴,【スカッとする話】私が年商500億の社長と知らない夫 「時給941円の底辺は出てけw」連れ子 「役立たずの母親バイバイw」私 「じゃあ出ていきます」１ヶ月後、涙を流した夫から鬼電がw,https://www.youtube.com/watch?v=BebSddofeds,100%
4,【スカッとする話】私が役員報酬で家計を支えていると知らず夫を略奪し引越した愛人。愛人「家政婦で良いなら住所教えるよw」私「じゃ時給780円の夫とは離婚で」愛人「寝言は寝て言えw」結果w,https://www.youtube.com/watch?v=7BkfeUd5plU,7.6万回視聴 / 2 年前, ИСТОРИИ для Вас,https://www.youtube.com/channel/UCoIz6ZmXWRv7GbQp2Tqsjsw,2 年前,0 回視聴,【スカッとする話】私が役員報酬で家計を支えていると知らず夫を略奪し引越した愛人。愛人「家政婦で良いなら住所教えるよw」私「じゃ時給780円の夫とは離婚で」愛人「寝言は寝て言えw」結果w,https://www.youtube.com/watch?v=nQbDO_sXG1U,100%
5,【スカッと総集編】起業した夫を支え続けた私を裏切り捨てた夫「20歳の愛人が妊娠してしまった！若い子が良いから離婚してくれ！」私「はーい、離婚届！仕事辞めるね！」夫「え？仕事は責任持ってやれよ！」,https://www.youtube.com/watch?v=FYqLYXwewes,6.9万回視聴 / 2 年前, ИСТОРИИ для Вас,https://www.youtube.com/channel/UCoIz6ZmXWRv7GbQp2Tqsjsw,2 年前,0 回視聴,【スカッと総集編】起業した夫を支え続けた私を裏切り捨てた夫「20歳の愛人が妊娠してしまった！若い子が良いから離婚してくれ！」私「はーい、離婚届！仕事辞めるね！」夫「え？仕事は責任持ってやれよ！,https://www.youtube.com/watch?v=trMqLBft4Vc,100%
6,【スカッとする話】夫と義両親から13年間も嫌われ続けた私。ある日、離婚届を置いて引っ越すと、ボロボロの夫と義両親から鬼電が→私（やっと気づいたかw）実は...,https://www.youtube.com/watch?v=Wk9S9SoTHxU,9.2万回視聴 / 3 年前, Ирина Анатольевна,https://www.youtube.com/channel/UCG2zWrAFwX5Xcj5AY5tAJqg,1 年前,0 回視聴,【スカッと】夫と義両親から13年間も嫌われ続けた私。ある日、私は離婚届をそっと置いて引っ越すと、ボロボロの夫と義両親から鬼電→私（やっと気づいたのねw）実は…【修羅場】,https://www.youtube.com/watch?v=P6hd8tPzNjI,93%
7,【スカッとする話】私が社員3000人の夫の会社の社長と知らず新築を購入した途端に豹変した夫「今日から両親と同居する！嫌なら離婚して出てけw」→私「じゃお前は解雇で会社出てけ」,https://www.youtube.com/watch?v=kpGjizf6mpc,17万回視聴 / 2 年前, Просто Истории,https://www.youtube.com/channel/UCHMuYD9Inb_58Ia9nbMSKjw,2 年前,0 回視聴,【スカッとする話】私が社員3000人の夫の会社の社長と知らず新築を購入した途端に豹変した夫「今日から両親と同居する！嫌なら離婚して出てけw」→私「じゃお前は解雇で会社出てけ」,https://www.youtube.com/watch?v=K-lXlLutxso,100%
8,【スカッとする話】夫「来月ママが引っ越してくる！お前の部屋片付けておけw」私「はーい、キレイにしておくね」夫の出張中に不動産屋に連絡し家を売り払いキレイに更地にした結果w,https://www.youtube.com/watch?v=vyDCAcHPme8,8.6万回視聴 / 2 年前, スカッとする話 ,https://www.youtube.com/channel/UCE4ScoaaEmRsXAijXOWNgPw,2 年前,1 回視聴,【スカッとする話】夫「来月ママが引っ越してくる！お前の部屋片付けておけw」私「はーい、キレイにしておくね」夫の出張中に不動産屋に連絡し家を売り払いキレイに更地にした結果w【修羅場】,https://www.youtube.com/watch?v=lrIE3hsN3X0,100%
9,【スカッとする話】夫の出張中に息子に誘われ高級ホテルへディナーに行くと女性にプロポーズする夫「亡き妻と息子の分まで幸せにする！」直後、静かに席を立ち上がり求婚に乱入→私と息子「死んだ全家族です」,https://www.youtube.com/watch?v=-fE68tebmjk,7.2万回視聴 / 2 年前, スカッとする話 ,https://www.youtube.com/channel/UCE4ScoaaEmRsXAijXOWNgPw,2 年前,0 回視聴,【スカッとする話】夫の出張中に息子に誘われ高級ホテルへディナーに行くと女性にプロポーズする夫「亡き妻と息子の分まで幸せにする！」→直後、静かに席を立ち求婚に乱入「どうも、亡き妻と息子です」【修,https://www.youtube.com/watch?v=hObl-wFSyeU,88%
10,【スカッとする話】夫の連れ子の娘と暮らし始めて1年。しかし、全くなつく気配がない…夫が海外出張に行った日に娘が初めて話しかけてきた。娘「お母さん、実は...」そう言って差し出された手には...,https://www.youtube.com/watch?v=BKC9CbFIESk,5.2万回視聴 / 3 年前, スカッとする話 ,https://www.youtube.com/channel/UCE4ScoaaEmRsXAijXOWNgPw,2 年前,7回視聴,【スカッとする話】夫の連れ子の娘と暮らし始めて2年。しかし、全くなつく気配がない…夫が海外出張に行った日に娘が初めて話しかけてきた。娘「お母さん、実は   」そう言って差し出された手には,https://www.youtube.com/watch?v=wyxcjOSAxes,99%
