No.,チャンネル名,チャンネルURL,転載動画URL,形式,一致率,転載の投稿,転載の再生数,転載タイトル,元動画URL,元動画の投稿,元動画の再生数,元タイトル
1,藤田 七海,https://www.youtube.com/channel/UCe0KTxGVR84qUjkAHQb-wGg,https://www.youtube.com/watch?v=H3NTQ4PrQQY,朗読/同形式,100%,2 週間前,54,【スカッとする話】私の退職金をやたら気にする夫「いくら貰ったの？」私「口座に2000万入った！」翌日、カードを手に夫が失踪。私（計画通りw）実は【朗読】【スカッと】,https://www.youtube.com/watch?v=dOy6I1JE_yY,3 週間前,30000,【スカッとする話】私の退職金をやたら気にする夫「いくら貰ったの？」私「口座に2000万入った！」翌日、カードを手に夫が失踪。私（計画通りw）実は【朗読】【スカッと】
2,藤田 七海,https://www.youtube.com/channel/UCe0KTxGVR84qUjkAHQb-wGg,https://www.youtube.com/watch?v=MCdA3DExAwI,朗読/同形式,100%,2 週間前,3,【スカッとする話】娘の結婚式に愛人と共に現れた夫「彼女にも座らせてあげて」私は黙って愛人に席を譲った直後、グループ10社を束ねる新郎父「会長、お久しぶりです」【朗読】【スカッと】,https://www.youtube.com/watch?v=ZobJWKrmIzQ,4 週間前,77000,【スカッとする話】娘の結婚式に愛人と共に現れた夫「彼女にも座らせてあげて」私は黙って愛人に席を譲った直後、グループ10社を束ねる新郎父「会長、お久しぶりです」【朗読】【スカッと】
3,藤田 七海,https://www.youtube.com/channel/UCe0KTxGVR84qUjkAHQb-wGg,https://www.youtube.com/watch?v=4wCL6JN8awg,朗読/同形式,100%,4 週間前,4,【スカッとする話】離婚した3日後に再婚した元夫「金持ちで若い嫁ゲットw」私「ごめん、笑いすぎて腹痛いwだって、その女は…w」真実を知った夫は顔面蒼白にw【朗読】【スカッと】,https://www.youtube.com/watch?v=lw1jxku6xxo,1 か月前,14000,【スカッとする話】離婚した3日後に再婚した元夫「金持ちで若い嫁ゲットw」私「ごめん、笑いすぎて腹痛いwだって、その女は…w」真実を知った夫は顔面蒼白にw【朗読】【スカッと】
4,藤田 七海,https://www.youtube.com/channel/UCe0KTxGVR84qUjkAHQb-wGg,https://www.youtube.com/watch?v=wrdB3yaai4M,朗読/同形式,100%,4 週間前,128,【スカッとする話】旦那が出張中、手土産を持って夫を亡くした親友を訪ねた私。しかし玄関のドアを開け、目の前の光景を見た瞬間、私「今までありがとう」実は【朗読】【スカッと】,https://www.youtube.com/watch?v=2t3thqCEE5U,1 か月前,43000,【スカッとする話】旦那が出張中、手土産を持って夫を亡くした親友を訪ねた私。しかし玄関のドアを開け、目の前の光景を見た瞬間、私「今までありがとう」実は【朗読】【スカッと】
5,藤田 七海,https://www.youtube.com/channel/UCe0KTxGVR84qUjkAHQb-wGg,https://www.youtube.com/watch?v=PMDTClN0lT8,朗読/同形式,100%,4 週間前,20,【スカッとする話】お盆に親戚の集まりに行くと、親戚一同が私を無視…義母（うわw来たよ…）無言でその場を立ち去り4日後、親戚全員から大量着信が…w【朗読】【スカッと】,https://www.youtube.com/watch?v=uSakJfqMq3Y,1 か月前,33000,【スカッとする話】お盆に親戚の集まりに行くと、親戚一同が私を無視…義母（うわw来たよ…）無言でその場を立ち去り4日後、親戚全員から大量着信が…w【朗読】【スカッと】
6,藤田 七海,https://www.youtube.com/channel/UCe0KTxGVR84qUjkAHQb-wGg,https://www.youtube.com/watch?v=FQOy31WsX70,朗読/同形式,100%,4 週間前,7,【スカッとする話】私がビル100棟のオーナーと知らず、私を捨て社長令嬢と再婚した夫「俺だけ金持ちなってごめんw」私「本当にそう思ってるの？」夫「嫉妬すんなってw」→翌日w【朗読】【スカッと】,https://www.youtube.com/watch?v=IOzGqAeYdYQ,1 か月前,48000,【スカッとする話】私がビル100棟のオーナーと知らず、私を捨て社長令嬢と再婚した夫「俺だけ金持ちなってごめんw」私「本当にそう思ってるの？」夫「嫉妬すんなってw」→翌日w【朗読】【スカッと】
7,藤田 七海,https://www.youtube.com/channel/UCe0KTxGVR84qUjkAHQb-wGg,https://www.youtube.com/watch?v=rD8lL-lTo0A,朗読/同形式,100%,4 週間前,2,【スカッとする話】私「正月に両親ウチ来るから」夫「新年から最悪の幕開けw来てる間は出てくわw」私「では私が出ていきます」離婚届を提出し永久に姿を消すとw【朗読】【スカッと】,https://www.youtube.com/watch?v=TUFznlJ6JeM,1 か月前,22000,【スカッとする話】私「正月に両親ウチ来るから」夫「新年から最悪の幕開けw来てる間は出てくわw」私「では私が出ていきます」離婚届を提出し永久に姿を消すとw【朗読】【スカッと】
8,藤田 七海,https://www.youtube.com/channel/UCe0KTxGVR84qUjkAHQb-wGg,https://www.youtube.com/watch?v=vVqgyRmaiKY,朗読/同形式,100%,3 週間前,7,【スカッとする話】結婚挨拶から帰宅した息子「片親の貧乏人とは白紙って…」息子の頬にはビンタの痕が…キレた私は義家族に即電話→義家族全員が号泣の展開にw【朗読】【スカッと】,https://www.youtube.com/watch?v=sTmob2uIaqg,1 か月前,72000,【スカッとする話】結婚挨拶から帰宅した息子「片親の貧乏人とは白紙って…」息子の頬にはビンタの痕が…キレた私は義家族に即電話→義家族全員が号泣の展開にw【朗読】【スカッと】
9,藤田 七海,https://www.youtube.com/channel/UCe0KTxGVR84qUjkAHQb-wGg,https://www.youtube.com/watch?v=1xXNKv0BneY,朗読/同形式,100%,3 週間前,1,【スカッとする話】娘がアスペルガーと診断されると、夫「離婚でw親権はお前なw」絶望の中、号泣する私に娘「ママ、これは何…？」娘が指差した紙を拾い上げると…【朗読】【スカッと】,https://www.youtube.com/watch?v=h7fUPWG2iGU,1 か月前,16000,【スカッとする話】娘がアスペルガーと診断されると、夫「離婚でw親権はお前なw」絶望の中、号泣する私に娘「ママ、これは何…？」娘が指差した紙を拾い上げると…【朗読】【スカッと】
10,藤田 七海,https://www.youtube.com/channel/UCe0KTxGVR84qUjkAHQb-wGg,https://www.youtube.com/watch?v=lFRyvF4udC4,朗読/同形式,100%,3 週間前,5,【スカッとする話】私を嫌う義両親が私を無視。私「おやすみ」2人「…」ハワイ旅行当日に姿を消すと鬼電。義両親「今どこ？」私「…」無視して空港に置き去りにするとw【朗読】【スカッと】,https://www.youtube.com/watch?v=VqAVQppeIsM,1 か月前,20000,【スカッとする話】私を嫌う義両親が私を無視。私「おやすみ」2人「…」ハワイ旅行当日に姿を消すと鬼電。義両親「今どこ？」私「…」無視して空港に置き去りにするとw【朗読】【スカッと】
