順位,チャンネル名,チャンネルURL,転載本数,直近の投稿,主な形式,検索上位に出ている本数,判定目安
1,藤田 七海,https://www.youtube.com/channel/UCe0KTxGVR84qUjkAHQb-wGg,70,2 週間前,朗読/同形式,3,要中身確認（一部に再生あり）
2,スカッと物語,https://www.youtube.com/channel/UCLz5UoQMIAja9LyZIOCYmQg,29,8 日前,朗読/同形式,0,転載の可能性高（再生ほぼ0）
3,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,27,2 か月前,朗読/同形式,0,転載の可能性高（再生ほぼ0）
4,良い話,https://www.youtube.com/channel/UCSrk1OzKlw4sCvRbksLDgcQ,24,5 日前,朗読/同形式,3,転載の可能性高（再生ほぼ0）
5,家庭の真実 5497,https://www.youtube.com/channel/UCqzVZHS7_AHD3WczZdnOkwg,20,3 週間前,朗読/同形式,2,転載の可能性高（再生ほぼ0）
6,スカッとストーリー 5006,https://www.youtube.com/channel/UC1x3I0LM2SzXkpn57uaFuQA,18,1 か月前,朗読/同形式,0,要中身確認（一部に再生あり）
7,嫁ゴコロ逆転朗読館,https://www.youtube.com/channel/UCQDSjWHn0tvkuVZav4jZnXQ,18,6 日前,朗読/同形式,2,転載の可能性高（再生ほぼ0）
8, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,17,1 年前,朗読/同形式,1,転載の可能性高（再生ほぼ0）
9,憂鬱よりスカッと,https://www.youtube.com/channel/UC8bvniIkSPPf_5ELr1VNZCQ,17,2 年前,朗読/同形式,0,転載の可能性高（再生ほぼ0）
10,とする話 ,https://www.youtube.com/channel/UC-1KoQRWd1ijwgKpAmRTQ7A,16,1 年前,朗読/同形式,1,転載の可能性高（再生ほぼ0）
11,Dima Tomashevich,https://www.youtube.com/channel/UCkfiH3lPVPodePE4eNSDpWg,15,2 年前,朗読/同形式,2,転載の可能性高（再生ほぼ0）
12,さあ、どうぞ,https://www.youtube.com/channel/UCG-XF2tttCtNESz__p6GQ7w,15,2 か月前,朗読/同形式,1,転載の可能性高（再生ほぼ0）
13,フィクション 5637,https://www.youtube.com/channel/UCpdFO-yvHBX2xI9xHQMDE-A,15,1 か月前,朗読/同形式,0,要中身確認（再生あり＝台本違いの可能性）
14,女たちのスカッと物語,https://www.youtube.com/channel/UCpVDiaX7X6rpIOvjUGkm0kA,15,2 週間前,朗読/同形式,0,転載の可能性高（再生ほぼ0）
15,姑の裏の顔 5668,https://www.youtube.com/channel/UCAUkwErZzfdQ5NFOS49O-rw,15,2 週間前,朗読/同形式,1,転載の可能性高（再生ほぼ0）
16,孤独な心,https://www.youtube.com/channel/UCSNdJwT8r-r8xVDRxs6utlw,15,1 年前,朗読/同形式,1,転載の可能性高（再生ほぼ0）
17,義家族スカッと物語帳,https://www.youtube.com/channel/UCIZ41RBpQd7wBp_oOTGv1zw,15,6 日前,朗読/同形式,2,転載の可能性高（再生ほぼ0）
18,静かな夜の物語、雨の中の記憶,,15,2 週間前,朗読/同形式,2,転載の可能性高（再生ほぼ0）
19,Noah Qumi,https://www.youtube.com/channel/UCH4l3-r5NgR2RlKdoRwfzAw,14,7 日前,朗読/同形式,0,転載の可能性高（再生ほぼ0）
20,Shinji Datの人生物語,https://www.youtube.com/channel/UCpdX_bFCePsYvPWZAMQoaeg,14,2 か月前,朗読/同形式,1,要中身確認（一部に再生あり）
21,スカッとする話 5020,https://www.youtube.com/channel/UCAG5eZR0aJpGuShtjtimSEg,14,4 週間前,朗読/同形式,2,転載の可能性高（再生ほぼ0）
22,人生の光と影,https://www.youtube.com/channel/UCYX4tsWpykTmtfNq_i36C_w,14,8 日前,朗読/同形式,1,要中身確認（一部に再生あり）
23,美しい木,https://www.youtube.com/channel/UCKDhvWl0boDNeo65NQzjbOg,14,3 か月前,朗読/同形式,1,転載の可能性高（再生ほぼ0）
24,TINA SHTIBKO,https://www.youtube.com/channel/UCIQbb4FNm2BhP5GfSTbrQ4w,13,2 年前,朗読/同形式,0,転載の可能性高（再生ほぼ0）
25,フィクション 5634,https://www.youtube.com/channel/UCtx1aitp-eTJhv2c94bnBZQ,13,3 週間前,朗読/同形式,0,要中身確認（再生あり＝台本違いの可能性）
26,泥だらけの絆 5655,https://www.youtube.com/channel/UCdyvc7k9wPzVO9X62aCvguQ,13,13 日前,朗読/同形式,0,転載の可能性高（再生ほぼ0）
27,Bonnie Denver,https://www.youtube.com/channel/UCsdndA886timZqWK6_b0d0Q,12,1 年前,朗読/同形式,1,転載の可能性高（再生ほぼ0）
