No.,チャンネル名,チャンネルURL,転載動画URL,転載の検索順位,本家の検索順位,転載の投稿,転載の再生数,元動画URL,元動画の再生数,元タイトル,判定目安
1,実話感動チャンネル,https://www.youtube.com/channel/UCekQO8WQ0udVSYSfX4Pymgw,https://www.youtube.com/watch?v=jv_tPg2W6KU,1,2,2 か月前,27912,https://www.youtube.com/watch?v=p4pyD9SD1Tk,81000,【スカッとする話】義両親に蹴られ骨折した私に夫「寝かせとけば治るw」翌日、病室に嘲笑いに来た義家族「あれ、嫁は？w」医師「警察署です」義家族「え？」【朗読】【スカッと】,要中身確認（再生あり＝台本違いの可能性）
2,実話感動チャンネル,https://www.youtube.com/channel/UCekQO8WQ0udVSYSfX4Pymgw,https://www.youtube.com/watch?v=qFlVMlu5W_s,1,2,3 か月前,13613,https://www.youtube.com/watch?v=nlS5u4pCtI0,38000,【スカッとする話】警察官の弟の結婚式に出席した私。義母「中卒の姉は一族の恥ねw」直後、慌てた弟が義母に私の正体を伝えると、義母は顔面蒼白に…【朗読】【スカッと】,要中身確認（再生あり＝台本違いの可能性）
3,実話感動チャンネル,https://www.youtube.com/channel/UCekQO8WQ0udVSYSfX4Pymgw,https://www.youtube.com/watch?v=3Y0kz4vBXE4,1,2,3 か月前,11882,https://www.youtube.com/watch?v=Tpbu9uHiFPg,110000,【スカッとする話】結婚10年目に銀行員の夫が突然の暴露「お前の親友と結婚するw籍入れてないし財産分与は無しw」私「あれ？あんた知らないの？」夫「何がだよw」実は…,要中身確認（再生あり＝台本違いの可能性）
4,実話感動チャンネル,https://www.youtube.com/channel/UCekQO8WQ0udVSYSfX4Pymgw,https://www.youtube.com/watch?v=wC808VvKID0,1,2,2 か月前,5598,https://www.youtube.com/watch?v=9kcEIi88egw,230000,【スカッとする話】自ら命を絶った夫が亡くなり1週間後、私宛に夫から手紙が届いた...手紙「両親に見つからず読んでくれ」そこに記された場所に行き同封の鍵でコインロッカーを開けると...,要中身確認（再生あり＝台本違いの可能性）
5,家族の修羅場,https://www.youtube.com/channel/UCBh3ipHGoPZMTeNkEWdf5kQ,https://www.youtube.com/watch?v=TgQ5XyInIK4,1,2,7 か月前,3,https://www.youtube.com/watch?v=RAvd6Tel5z0,27000,【スカッとする話】初孫の初節句のお祝いで料亭に行くと私だけ料理がない…長男嫁「家族の分しかないですよw」私「じゃあ他人は帰りますね。仕送り30万もやめるから」,転載の可能性高（再生ほぼ0）
6,家族の修羅場,https://www.youtube.com/channel/UCBh3ipHGoPZMTeNkEWdf5kQ,https://www.youtube.com/watch?v=73K4XYt9xrc,1,2,7 か月前,0,https://www.youtube.com/watch?v=XKULaOclsHw,19000,【スカッとする話】母が危篤になり病院へ急ぐ私に夫「他人のババァとか興味ないwてか出張中は連絡するなw」2週間後、満面の笑みで夫が帰ると→私「お義母さんの葬儀、終わったよ」,転載の可能性高（再生ほぼ0）
7,家族の修羅場,https://www.youtube.com/channel/UCBh3ipHGoPZMTeNkEWdf5kQ,https://www.youtube.com/watch?v=Dw56BW6dv8A,1,2,7 か月前,0,https://www.youtube.com/watch?v=Hf2l_WByhX8,15000,【スカッとする話】私「ボーナスとミニバンが消えた！」夫「還暦祝いで母さんに譲ったw文句あるなら離婚するぞw」3日後、半狂乱の義母から鬼電→私「あんた誰？」【スカッと】【朗読】,転載の可能性高（再生ほぼ0）
8,家族の修羅場,https://www.youtube.com/channel/UCBh3ipHGoPZMTeNkEWdf5kQ,https://www.youtube.com/watch?v=hU_nHDJY2IQ,1,2,7 か月前,0,https://www.youtube.com/watch?v=AkFPFwnz6fs,55000,【スカッとする話】1億の一軒家に住む金持ち自慢の婚約者の実家へ結婚挨拶に行くと、義父「なんだ？不細工な嫁だなw」義母「親の顔が見てみたいわねw」→母「どうも、不細工の母です」義両親「え？あなたは…」,転載の可能性高（再生ほぼ0）
9,Văn Sơn Lã,https://www.youtube.com/channel/UCnSrambnfB2Nc_4BliQ4Aug,https://www.youtube.com/watch?v=hDurNSA0XVU,1,2,1 年前,0,https://www.youtube.com/watch?v=a207sJNOihM,87000,【スカッとする話】浮気中の夫が意識不明で運ばれ、救急隊員「意識不明の重体です！」私「旦那じゃありません」無視して夫の人生終了させた結果w,転載の可能性高（再生ほぼ0）
10,Văn Sơn Lã,https://www.youtube.com/channel/UCnSrambnfB2Nc_4BliQ4Aug,https://www.youtube.com/watch?v=x6IaaxpWj6s,1,2,1 年前,0,https://www.youtube.com/watch?v=urrn4wk835o,100000,【スカッとする話】事故で半身不随の夫の見舞いに来た8歳の姪「この手紙ばぁばから預かったの。夫さんに隠れて読んでって」手紙を確認した私は慌てて夫のズボンを脱がし...,転載の可能性高（再生ほぼ0）
