ラウンド,No.,チャンネル順位,チャンネル名,チャンネルURL,転載動画URL,一致率,転載の投稿,転載の再生数,元動画URL,元動画の再生数,元タイトル
1,1,1,藤田 七海,https://www.youtube.com/channel/UCe0KTxGVR84qUjkAHQb-wGg,https://www.youtube.com/watch?v=H3NTQ4PrQQY,100%,2 週間前,54,https://www.youtube.com/watch?v=dOy6I1JE_yY,30000,【スカッとする話】私の退職金をやたら気にする夫「いくら貰ったの？」私「口座に2000万入った！」翌日、カードを手に夫が失踪。私（計画通りw）実は【朗読】【スカッと】
1,2,2,スカッと物語,https://www.youtube.com/channel/UCLz5UoQMIAja9LyZIOCYmQg,https://www.youtube.com/watch?v=od3pGdQwxPk,100%,8 日前,0,https://www.youtube.com/watch?v=IsPanDg1vH0,28000,【スカッとする話】娘の葬儀に愛人を連れてきた婿「最期に間に合わなくて残念w」愛人「遺産2億は私達が相続ねw」私「…ですってw」夫「助かるなw」愛人「え？」実はw【朗読ドラマ】【朗読】【スカッと】
1,3,3,出る杭は打たれる,https://www.youtube.com/channel/UCAmIDIbiOxKA9YSVK0aYSZQ,https://www.youtube.com/watch?v=eO55IR5xYH8,100%,2 か月前,0,https://www.youtube.com/watch?v=OJkzN_P6Tys,43000,【スカッとする話】義母の私にだけ引越し先を教えない長男嫁「他人に住所は教えませんw今後一切関わらないでくださいw」1ヶ月後、長男嫁が病気で緊急手術→他人なので執刀医を辞退した結果w
1,4,4,良い話,https://www.youtube.com/channel/UCSrk1OzKlw4sCvRbksLDgcQ,https://www.youtube.com/watch?v=BgwIu7GjpsA,100%,5 日前,0,https://www.youtube.com/watch?v=p9EJ4XSEiOU,33000,【スカッとする話】夫を略奪した美人同級生から結婚式の招待状が届くと、祖父「バァさんと2人で行く」祖母「地獄を見せてくるわ」普段温厚な祖父母がこの後...w【スカッと】【朗読】【修羅場】
1,5,5,家庭の真実 5497,https://www.youtube.com/channel/UCqzVZHS7_AHD3WczZdnOkwg,https://www.youtube.com/watch?v=DBMjSadqY8E,100%,3 週間前,30,https://www.youtube.com/watch?v=lRIrN83xkSc,62000,【スカッとする話】私の車のアクセルにこっそり手を加える夫。私（知らないふりしよw）翌日、車を義両親に貸し出すと、夫「ま、待ってくれ…」実はw【朗読】【スカッと】
1,6,6,スカッとストーリー 5006,https://www.youtube.com/channel/UC1x3I0LM2SzXkpn57uaFuQA,https://www.youtube.com/watch?v=7UfS_a8A8SY,100%,1 か月前,66,https://www.youtube.com/watch?v=YYnTTQ_3WI8,59000,【スカッとする話】妹の代わりに田舎の猟師に嫁いだ私「今日の夕飯は鹿肉？」夫「いや、これで好きな物食べて」10万円を手渡された私…→夫の正体を知った妹が半狂乱にw【朗読】【スカッと】
1,7,7,嫁ゴコロ逆転朗読館,https://www.youtube.com/channel/UCQDSjWHn0tvkuVZav4jZnXQ,https://www.youtube.com/watch?v=sn9gV9SEkus,100%,6 日前,0,https://www.youtube.com/watch?v=00HSG0Knh3I,17000,【スカッとする話】70歳を過ぎ夫と別居中の私。40年もの間、夫は冷酷だった。ある日、夫の手帳を開いた瞬間、全てを理解し涙が溢れ…【朗読】【スカッと】
1,8,8, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,https://www.youtube.com/watch?v=ykrbCE8A45A,100%,1 年前,2,https://www.youtube.com/watch?v=RNWUvpjXeTw,22000,【スカッと】私の子供が夫の上司と瓜二つ。夫「浮気してたな！離婚だ！」義母「アバズレは今すぐ出てけw」13年後、夫と義母と再会すると二人は半狂乱。だって娘は…
1,9,9,憂鬱よりスカッと,https://www.youtube.com/channel/UC8bvniIkSPPf_5ELr1VNZCQ,https://www.youtube.com/watch?v=EbCFdI1mcDA,100%,2 年前,100,https://www.youtube.com/watch?v=VyoXxeYV0Ag,37000,【スカッとする話】家事、育児、仕事をこなし夫と30年間連れ添った私に夫が突然の土下座「愛人が妊娠したから再婚する。離婚してくれ」私「はーい、ではさようなら」1週間後、半狂乱の夫から39件の鬼電がw
1,10,10,とする話 ,https://www.youtube.com/channel/UC-1KoQRWd1ijwgKpAmRTQ7A,https://www.youtube.com/watch?v=E9MMt25o2Es,100%,1 年前,73,https://www.youtube.com/watch?v=w3t-NBVK2CU,31000,【スカッとする話】結婚式当日に夫から突然の電話。夫「みんな集まってるぞ！早く来い！」私「え？なに言ってるの？」たった今終わったと伝えると…
